Versie 25/08/2026,PIKETROOSTER 2026-2027,,,,
Lesuur,MAANDAG,DINSDAG,WOENSDAG,DONDERDAG,VRIJDAG
PERIODE,Anke,Dries,Gitte,Joris,Mien
,Bram,Eva,Hugo,Kaat,Noor
,Cato,Ferre,Ines,Lars,Otto
3e LESUUR,Puck,Tuur,Yara,Bram,Eva
,Rik,Wies,Zeno,Cato,Ferre
,Saar,Xander,Anke,Dries,Gitte
4e LESUUR,Hugo,Kaat,Noor,Saar,Xander
,Ines,Lars,Otto,Tuur,Yara
,Joris,Mien,Puck / Rik,Wies,Zeno
5e LESUUR,Anke,Bram,,Cato,Joris
,Dries,Eva,,Ferre,Kaat
,Gitte,Hugo,,Ines,Lars
6e LESUUR,Mien,Puck,,Tuur,Yara
,Noor,Rik,,Wies,Zeno
,Otto,Saar,,Xander,Anke
7e LESUUR,Bram,Eva,,Hugo,Kaat
,Cato,Ferre,,Ines,Lars
,Dries,Gitte,,Joris,Mien
8e LESUUR,Noor,Puck,,Saar,Wies
,Otto,Rik,,Tuur,/
